from_stop_id,to_stop_id,transfer_type,min_transfer_time
27791,27663,0,
27663,27792,0,
27792,27663,0,
27746,27791,0,
27791,27746,0,
27746,27792,0,
27792,27746,0,
27791,27792,0,
27792,27791,0,
43344,25478,0,
25478,43344,0,
43343,25479,0,
25479,43343,0,
25424,25481,0,
25481,25424,0,
43342,25489,0,
25489,43342,0,
41803,25492,0,
25492,41803,0,
41804,25493,0,
25493,41804,0,
43327,25497,0,
25497,43327,0,
41785,25498,0,
25498,41785,0,
43326,25499,0,
25499,43326,0,
26052,25500,0,
25500,26052,0,
43324,25501,0,
25501,43324,0,
26051,25502,0,
25502,26051,0,
41783,25507,0,
25507,41783,0,
41784,25509,0,
25509,41784,0,
26044,25510,0,
25510,26044,0,
41838,25511,0,
25511,41838,0,
41777,25512,0,
25512,41777,0,
26096,25521,0,
25521,26096,0,
26107,25523,0,
25523,26107,0,
26102,25526,0,
25526,26102,0,
26098,25527,0,
25527,26098,0,
26091,25528,0,
25528,26091,0,
26046,25529,0,
25529,26046,0,
41829,25532,0,
25532,41829,0,
41830,25533,0,
25533,41830,0,
41827,25534,0,
25534,41827,0,
26122,25540,0,
25540,26122,0,
41843,25541,0,
25541,41843,0,
41845,25542,0,
25542,41845,0,
41847,25543,0,
25543,41847,0,
41849,25544,0,
25544,41849,0,
41851,25545,0,
25545,41851,0,
26054,25548,0,
25548,26054,0,
26034,25552,0,
25552,26034,0,
26031,25553,0,
25553,26031,0,
41807,25555,0,
25555,41807,0,
41806,25556,0,
25556,41806,0,
41768,25557,0,
25557,41768,0,
41802,25558,0,
25558,41802,0,
41801,25559,0,
25559,41801,0,
41796,25560,0,
25560,41796,0,
41793,25561,0,
25561,41793,0,
41765,25562,0,
25562,41765,0,
41789,25563,0,
25563,41789,0,
41757,25564,0,
25564,41757,0,
41759,25565,0,
25565,41759,0,
41761,25566,0,
25566,41761,0,
41755,25567,0,
25567,41755,0,
41763,25568,0,
25568,41763,0,
41753,25569,0,
25569,41753,0,
41762,25570,0,
25570,41762,0,
47548,25638,0,
25638,47548,0,
47548,25639,0,
25639,47548,0,
25638,25639,0,
25639,25638,0,
14600,25644,0,
25644,14600,0,
26011,25646,0,
25646,26011,0,
26040,25647,0,
25647,26040,0,
14494,25653,0,
25653,14494,0,
14494,26253,0,
26253,14494,0,
14494,26296,0,
26296,14494,0,
14494,26297,0,
26297,14494,0,
14494,26298,0,
26298,14494,0,
14494,31020,0,
31020,14494,0,
14494,31021,0,
31021,14494,0,
14494,31022,0,
31022,14494,0,
14494,31024,0,
31024,14494,0,
14494,31026,0,
31026,14494,0,
14494,31027,0,
31027,14494,0,
14494,31028,0,
31028,14494,0,
14494,31029,0,
31029,14494,0,
14494,31030,0,
31030,14494,0,
14494,31032,0,
31032,14494,0,
14494,31034,0,
31034,14494,0,
14494,31037,0,
31037,14494,0,
14494,31038,0,
31038,14494,0,
14494,31039,0,
31039,14494,0,
14494,31040,0,
31040,14494,0,
14494,31041,0,
31041,14494,0,
14494,31042,0,
31042,14494,0,
14494,31044,0,
31044,14494,0,
14494,31046,0,
31046,14494,0,
14494,31050,0,
31050,14494,0,
14494,31051,0,
31051,14494,0,
14494,31489,0,
31489,14494,0,
14494,47984,0,
47984,14494,0,
14494,89764,0,
89764,14494,0,
14494,89783,0,
89783,14494,0,
14494,90426,0,
90426,14494,0,
14494,90604,0,
90604,14494,0,
25653,26253,0,
26253,25653,0,
25653,26296,0,
26296,25653,0,
25653,26297,0,
26297,25653,0,
25653,26298,0,
26298,25653,0,
25653,31020,0,
31020,25653,0,
25653,31021,0,
31021,25653,0,
25653,31022,0,
31022,25653,0,
25653,31024,0,
31024,25653,0,
25653,31026,0,
31026,25653,0,
25653,31027,0,
31027,25653,0,
25653,31028,0,
31028,25653,0,
25653,31029,0,
31029,25653,0,
25653,31030,0,
31030,25653,0,
25653,31032,0,
31032,25653,0,
25653,31034,0,
31034,25653,0,
25653,31037,0,
31037,25653,0,
25653,31038,0,
31038,25653,0,
25653,31039,0,
31039,25653,0,
25653,31040,0,
31040,25653,0,
25653,31041,0,
31041,25653,0,
25653,31042,0,
31042,25653,0,
25653,31044,0,
31044,25653,0,
25653,31046,0,
31046,25653,0,
25653,31050,0,
31050,25653,0,
25653,31051,0,
31051,25653,0,
25653,31489,0,
31489,25653,0,
25653,47984,0,
47984,25653,0,
25653,89764,0,
89764,25653,0,
25653,89783,0,
89783,25653,0,
25653,90426,0,
90426,25653,0,
25653,90604,0,
90604,25653,0,
26253,26296,0,
26296,26253,0,
26253,26297,0,
26297,26253,0,
26253,26298,0,
26298,26253,0,
26253,31020,0,
31020,26253,0,
26253,31021,0,
31021,26253,0,
26253,31022,0,
31022,26253,0,
26253,31024,0,
31024,26253,0,
26253,31026,0,
31026,26253,0,
26253,31027,0,
31027,26253,0,
26253,31028,0,
31028,26253,0,
26253,31029,0,
31029,26253,0,
26253,31030,0,
31030,26253,0,
26253,31032,0,
31032,26253,0,
26253,31034,0,
31034,26253,0,
26253,31037,0,
31037,26253,0,
26253,31038,0,
31038,26253,0,
26253,31039,0,
31039,26253,0,
26253,31040,0,
31040,26253,0,
26253,31041,0,
31041,26253,0,
